id,firstname,lastname,title,party_slug,text,image_url,gender,birthday,website,slug,email,list,marital_status,children,education,profession,district_id,electoraldistrict_id,bt18_member,bt19_candidate,bt19_member,online_profiles,twitter_handle,MUST_CHECK
1,Enrico,Komning,NULL,afd,Landtagsabgeordneter in Mecklenburg-Vorpommern,,m,NULL,,enrico-komning-afd,,0,,NULL,,Rechtsanwalt,13,16,0,1,NULL,NULL,,
2,Martin,Schulz,NULL,spd,Designierter Kanzlerkandidat der SPD,,m,NULL,,martin-schulz-spd,,0,,NULL,,,NULL,NULL,NULL,1,NULL,NULL,MartinSchulz,
3,Katrin,Ebner-Steiner,,afd,AfD-Kreisvorsitzende in Deggendorf,,f,NULL,,katrin-ebner-steiner-afd,,0,,NULL,,,14,227,NULL,1,NULL,,,
4,Christoph,Neumann,,afd,,,m,NULL,,christoph-neumann-afd,,0,,NULL,,,14,153,0,1,NULL,,,
5,Detlev,Spangenberg,,afd,,,m,NULL,,detlev-spangenberg-afd,,0,,NULL,,,14,151,0,1,NULL,,,
6,Carsten Paul,Hütter,,afd,,,m,NULL,,carsten paul-huetter-afd,,0,,NULL,,,14,155,0,1,NULL,,,
7,Jens,Maier,,afd,,,m,NULL,,jens-maier-afd,,0,,NULL,,,14,159,0,1,NULL,,,
8,Stefan,Vogel,,afd,,,m,NULL,,stefan-vogel-afd,,0,,NULL,,,14,160,0,1,NULL,,,
9,Tino,Chrupalla,,afd,,,m,NULL,,tino-chrupalla-afd,,0,,NULL,,,14,157,0,1,NULL,,,
10,Karsten,Hilse,,afd,,,m,NULL,,karsten-hilse-afd,,0,,NULL,,,14,156,0,1,NULL,,,
11,Frauke,Petry,Dr.,afd,,,f,NULL,,frauke-petry-afd,,0,,NULL,,,14,158,0,1,NULL,,,
12,Heiko,Hessenkemper,,afd,,,m,NULL,,heiko-hessenkemper-afd,,0,,NULL,,,14,161,0,1,NULL,,,
13,Jörg,Vieweg,,afd,,,m,NULL,,joerg-vieweg-afd,,0,,NULL,,,14,162,0,1,NULL,,,
14,Ulrich,Oehme,,afd,,,m,NULL,,ulrich-oehme-afd,,0,,NULL,,,14,163,0,1,NULL,,,
15,Karsten Uwe,Teubner,,afd,,,m,NULL,,karsten-uwe-teubner-afd,,0,,NULL,,,14,164,0,1,NULL,,,
16,Ulrich,Lupart,,afd,,,m,NULL,,ulrich-lupart-afd,,0,,NULL,,,14,166,0,1,NULL,,,
17,Benjamin J.,Przybylla,,afd,,,m,NULL,,benjamin-przybylla-afd,,0,,NULL,,,14,165,0,1,NULL,,,
18,Lars,Herrmann,,afd,,,m,NULL,,lars-herrmann-afd,,0,,NULL,,,14,154,0,1,NULL,,,
19,Siegbert F.,Droese,,afd,,,m,NULL,,siegbert-droese-afd,,0,,NULL,,,14,152,0,1,NULL,,,
20,Matthias,Lehmann,,afd,,,m,NULL,,matthias-lehmann-afd,,0,,NULL,,,7,206,0,1,NULL,,,
21,Alice,Weidel,Dr.,afd,,,f,NULL,,alice-weidel-afd,,1,,NULL,,,8,NULL,0,1,NULL,,,
22,Lothar,Maier,Prof. Dr.,afd,,,m,NULL,,lothar-maier-afd,,2,,NULL,,,8,NULL,0,1,NULL,,,
23,Marc,Jongen,Dr.,afd,,,m,NULL,,marc-jongen-afd,,3,,NULL,,,8,NULL,0,1,NULL,,,
24,Markus,Frohnmaier,,afd,,,m,NULL,,markus-frohnmaier-afd,,4,,NULL,,,8,NULL,0,1,NULL,,,
25,Thomas,Seitz,,afd,,,m,NULL,,thomas-seitz-afd,,5,,NULL,,,8,NULL,0,1,NULL,,,
26,Jürgen,Jürgen,,afd,,,m,NULL,,jürgen-jürgen-afd,,6,,NULL,,,8,NULL,0,1,NULL,,,!
27,Martin,Hess,,afd,,,m,NULL,,martin-hess-afd,,7,,NULL,,,8,NULL,0,1,NULL,,,
28,Volker,Münz,,afd,,,m,NULL,,volker-muenz-afd,,8,,NULL,,,8,NULL,0,1,NULL,,,
29,Marc,Bernhard,,afd,,,m,NULL,,marc-bernhard-afd,,9,,NULL,,,8,NULL,0,1,NULL,,,
30,Dirk,Spaniel,Dr.,afd,,,m,NULL,,dirk-spaniel-afd,,10,,NULL,,,8,NULL,0,1,NULL,,,
31,Franziska,Gminder,,afd,,,f,NULL,,franziska-gminder-afd,,11,,NULL,,,8,NULL,0,1,NULL,,,
32,Joachim,Senger,,afd,,,m,NULL,,joachim-senger-afd,,12,,NULL,,,8,NULL,0,1,NULL,,,
33,Jens,Zeller,Prof. Dr.,afd,,,m,NULL,,jens-zeller-afd,,13,,NULL,,,8,NULL,0,1,NULL,,,
34,Joachim,Kuhs,,afd,,,m,NULL,,joachim-kuhs-afd,,14,,NULL,,,8,NULL,0,1,NULL,,,
35,Jens,Anhorn,,afd,,,m,NULL,,jens-anhorn-afd,,15,,NULL,,,8,NULL,0,1,NULL,,,
36,Mariana,Harder-Kühnel,,afd,,,f,NULL,,mariana-harder-kuehnel-afd,,1,,NULL,,,6,NULL,0,1,NULL,,,
37,Peter,Münch,,afd,,,m,NULL,,peter-muench-afd,,2,,NULL,,,6,NULL,0,1,NULL,,,
38,Joana,Cotar,,afd,,,f,NULL,,joana-cotar-afd,,3,,NULL,,,6,NULL,0,1,NULL,,,
39,Martin,Hohmann,,afd,,,m,NULL,,martin-hohmann-afd,,4,,NULL,,,6,NULL,0,1,NULL,,,
40,Albrecht,Glaser,,afd,,,m,NULL,,albrecht-glaser-afd,,5,,NULL,,,6,NULL,0,1,NULL,,,
41,Uwe,Schulz,,afd,,,m,NULL,,uwe-schulz-afd,,6,,NULL,,,6,NULL,0,1,NULL,,,
42,Jan,Nolte,,afd,,,m,NULL,,jan-nolte-afd,,7,,NULL,,,6,NULL,0,1,NULL,,,
43,Manfred,Mattis,,afd,,,m,NULL,,manfred-mattis-afd,,8,,NULL,,,6,NULL,0,1,NULL,,,
44,Christine,Anderson,,afd,,,f,NULL,,christine-anderson-afd,,9,,NULL,,,6,NULL,0,1,NULL,,,
45,Andreas,Lichert,,afd,,,m,NULL,,andreas-lichert-afd,,10,,NULL,,,6,NULL,0,1,NULL,,,
46,Frank,Karnbach,,afd,,,m,NULL,,frank-karnbach-afd,,11,,NULL,,,6,NULL,0,1,NULL,,,
47,Klaus,Herrmann,,afd,,,m,NULL,,klaus-herrmann-afd,,12,,NULL,,,6,NULL,0,1,NULL,,,
48,Julian,Schmidt,,afd,,,m,NULL,,julian-schmidt-afd,,13,,NULL,,,6,NULL,0,1,NULL,,,
49,Robert,Rankl,,afd,,,m,NULL,,robert-rankl-afd,,14,,NULL,,,6,NULL,0,1,NULL,,,
50,Karl-Ludwig,Kunstein,,afd,,,m,NULL,,karl-ludwig-kunstein-afd,,15,,NULL,,,6,NULL,0,1,NULL,,,
51,Aljoscha,Utermark,,afd,,,,NULL,,aljoscha-utermark-afd,,16,,NULL,,,6,NULL,0,1,NULL,,,
52,Ulrike,Schielke-Ziesing,,afd,Landesschatzmeisterin der AfD MV,,f,NULL,,ulrike-schielke-ziesing-afd,,0,,NULL,,Verwaltungsangestellte,13,17,0,1,NULL,,,
53,Hagen,Brauer,Dr.,afd,Schweriner Stadtverordneter,,m,NULL,,hagen-brauer-afd,,0,,NULL,,Chemiker,13,12,0,1,NULL,,,
54,Lars,Löwe,,afd,,,m,NULL,,lars-loewe-afd,,0,,NULL,,Lehrer,13,13,0,1,NULL,,,
55,Thomas,Koch,,afd,,,m,NULL,,thomas-koch-afd,,0,,NULL,,kaufmännischer Angestellter,13,14,0,1,NULL,,,
56,Leif-Erik,Holm,,afd,Landtags-Fraktionsvorsitzende und Landessprecher der AfD MV,,m,NULL,,leif-erik-holm-afd,,0,,NULL,,,13,15,0,1,NULL,,,
57,Angela,Merkel,Dr.,cdu,Bundeskanzlerin,,f,NULL,,angela-merkel-cdu,,,,NULL,,,13,15,1,1,NULL,,,
58,Hans-Joachim,Berg,Dr.,afd,,,m,NULL,NULL,hans-joachim-berg-afd,NULL,NULL,NULL,NULL,NULL,NULL,11,79,0,1,NULL,,,
59,Nicolaus,Fest,,afd,,,m,NULL,NULL,nicolaus-fest-afd,NULL,NULL,NULL,NULL,NULL,NULL,11,80,0,1,NULL,,,
60,Georg,Pazderski,,afd,,,m,NULL,NULL,georg-pazderski-afd,NULL,NULL,NULL,NULL,NULL,NULL,11,76,0,1,NULL,,,
,Marcus,Weinberg,,cdu,,,m,,,marcus-weinberg-cdu,,1,,,,,2,19,NULL,1,NULL,,,
,Rüdiger,Kruse,,cdu,,,m,,,ruediger-kruse-cdu,,2,,,,,2,20,NULL,1,NULL,,,
,Christoph,de Vries,,cdu,,,m,,,christoph-de-vries-cdu,,3,,,,,2,18,NULL,1,NULL,,,
,Christoph,Ploß,,cdu,,,m,,,christoph-ploß-cdu,,4,,,,,2,21,NULL,1,NULL,,,
